"arabinose_transporters"	"galactose_transporters"	"glucose_transporters"	"lactose_transporters"	"mannitol_transporters"	"mannose_transporters"	"polysia_transporters"	"ribose_transporters"	"sia_transporters"	"sucrose_transporters"
"norA"	0.011294565291302	0.00747954096649878	-0.0117642917455475	0.0213579348019843	-0.0291977256120563	-0.00340522691866035	-0.0065705607329535	0.0118111977704137	-0.0175181901444862	-0.00263507253409044
"lmrS"	0	0	0	0	0	0	0	0	0	0
"arl"	-0.0237828651255871	0.00747954096649878	-0.0117642917455475	0.0213579348019843	0.0162562764682988	-0.00340522691866035	-0.0065705607329535	0.0494004469484983	-0.0175181901444862	-0.00263507253409044
"mep"	0.0159660231895009	-0.0846581932807137	0	0.0391133474512522	0.0361387960622082	0	0.102254193406871	0.0327260883163532	-0.0527800595704701	0
"mgrA"	0	0	0	0	0	0	0	0	0	0
"qac"	0.165373583725814	0.0562637866466819	-0.0558758238683198	-0.0563136093442392	0.0335464753935829	-0.00711412722176934	0.0473287573078229	0.0272378387957784	0.0341478510664446	0.00346757916541194
"tet"	-0.0193149590843969	0.043299248901567	0.0565898278991216	-0.16177692367889	-0.141860317336009	0.010957779483163	0.221849625984381	-0.0340160498427637	0.530497205695501	0.032712425822367
"fexA"	-0.00461499445032005	0.012379707959974	0.0447762412617579	-0.0949383360812367	-0.0623747368289503	-0.0168502056314656	0.195277088571336	-0.100930488802226	0.275195374019054	-0.0130392232629005
"blaZ"	0.0921506670970781	0.0845894780970597	-0.0484981533123774	0.0635511327180005	0.0533261841920793	0.047716706284881	0.0771610295277151	0.110687105910113	0.140424738531737	-0.00355331343263297
"mec"	0.0638393761053944	-0.024125311743101	0.123959114878214	0.238527079685863	0.227980945440951	-0.00913197163586512	0.0862758705954717	0.464691181617371	0.152882797075475	0.0478160884815448
